owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
User,https://api.github.com/users/jlevy,https://github.com/jlevy,https://github.com/jlevy/the-art-of-command-line,https://api.github.com/repos/jlevy/the-art-of-command-line,False,2015-05-20T15:11:03Z,2019-06-25T15:02:25Z,2557,58582,,True,False,6253,6253,151,58582,,,
Organization,https://api.github.com/users/public-apis,https://github.com/public-apis,https://github.com/public-apis/public-apis,https://api.github.com/repos/public-apis/public-apis,False,2016-03-20T23:49:42Z,2019-06-25T14:12:50Z,2504,58423,Python,True,True,6128,6128,72,58423,,,
Organization,https://api.github.com/users/tensorflow,https://github.com/tensorflow,https://github.com/tensorflow/models,https://api.github.com/repos/tensorflow/models,False,2016-02-05T01:15:20Z,2019-06-25T14:48:19Z,521554,54466,Python,True,True,33870,33870,1691,54466,,,
Organization,https://api.github.com/users/kubernetes,https://github.com/kubernetes,https://github.com/kubernetes/kubernetes,https://api.github.com/repos/kubernetes/kubernetes,False,2014-06-06T22:56:04Z,2019-06-25T15:03:43Z,873358,54430,Go,True,False,18867,18867,3221,54430,,,
Organization,https://api.github.com/users/moby,https://github.com/moby,https://github.com/moby/moby,https://api.github.com/repos/moby/moby,False,2013-01-18T18:10:57Z,2019-06-25T13:52:04Z,143175,53850,Go,True,True,15530,15530,3738,53850,,,
Organization,https://api.github.com/users/laravel,https://github.com/laravel,https://github.com/laravel/laravel,https://api.github.com/repos/laravel/laravel,False,2011-06-08T03:06:08Z,2019-06-25T15:01:48Z,9793,53136,PHP,False,False,16266,16266,27,53136,,,
User,https://api.github.com/users/mrdoob,https://github.com/mrdoob,https://github.com/mrdoob/three.js,https://api.github.com/repos/mrdoob/three.js,False,2010-03-23T18:58:01Z,2019-06-25T14:54:28Z,722824,52608,JavaScript,True,True,19822,19822,829,52608,,,
Organization,https://api.github.com/users/ytdl-org,https://github.com/ytdl-org,https://github.com/ytdl-org/youtube-dl,https://api.github.com/repos/ytdl-org/youtube-dl,False,2010-10-31T14:35:07Z,2019-06-25T15:10:21Z,56079,51877,Python,True,False,9017,9017,2905,51877,,,
Organization,https://api.github.com/users/jquery,https://github.com/jquery,https://github.com/jquery/jquery,https://api.github.com/repos/jquery/jquery,False,2009-04-03T15:20:14Z,2019-06-25T13:30:21Z,29553,51790,JavaScript,True,True,18240,18240,81,51790,,,
User,https://api.github.com/users/justjavac,https://github.com/justjavac,https://github.com/justjavac/free-programming-books-zh_CN,https://api.github.com/repos/justjavac/free-programming-books-zh_CN,False,2013-11-04T01:59:19Z,2019-06-25T14:52:17Z,848,51566,,True,False,16834,16834,162,51566,,,
Organization,https://api.github.com/users/GoogleChrome,https://github.com/GoogleChrome,https://github.com/GoogleChrome/puppeteer,https://api.github.com/repos/GoogleChrome/puppeteer,False,2017-05-09T22:16:13Z,2019-06-25T14:54:21Z,5448,50712,JavaScript,True,False,4653,4653,411,50712,,,
Organization,https://api.github.com/users/microsoft,https://github.com/microsoft,https://github.com/microsoft/TypeScript,https://api.github.com/repos/microsoft/TypeScript,False,2014-06-17T15:28:39Z,2019-06-25T14:54:08Z,1072771,50697,TypeScript,True,True,7006,7006,3998,50697,,,
User,https://api.github.com/users/trekhleb,https://github.com/trekhleb,https://github.com/trekhleb/javascript-algorithms,https://api.github.com/repos/trekhleb/javascript-algorithms,False,2018-03-24T07:47:04Z,2019-06-25T14:10:26Z,2546,50071,JavaScript,True,False,7321,7321,99,50071,,,
Organization,https://api.github.com/users/webpack,https://github.com/webpack,https://github.com/webpack/webpack,https://api.github.com/repos/webpack/webpack,False,2012-03-10T10:08:14Z,2019-06-25T12:43:07Z,23017,49582,JavaScript,True,True,6238,6238,512,49582,,,
Organization,https://api.github.com/users/reduxjs,https://github.com/reduxjs,https://github.com/reduxjs/redux,https://api.github.com/repos/reduxjs/redux,False,2015-05-29T23:53:15Z,2019-06-25T12:21:30Z,8236,49275,JavaScript,True,False,12686,12686,30,49275,,,
Organization,https://api.github.com/users/angular,https://github.com/angular,https://github.com/angular/angular,https://api.github.com/repos/angular/angular,False,2014-09-18T16:12:01Z,2019-06-25T14:54:08Z,116976,49236,TypeScript,True,False,13392,13392,2908,49236,,,
Organization,https://api.github.com/users/atom,https://github.com/atom,https://github.com/atom/atom,https://api.github.com/repos/atom/atom,False,2012-01-20T18:18:21Z,2019-06-25T14:58:37Z,312840,49116,JavaScript,True,False,12002,12002,654,49116,,,
User,https://api.github.com/users/iluwatar,https://github.com/iluwatar,https://github.com/iluwatar/java-design-patterns,https://api.github.com/repos/iluwatar/java-design-patterns,False,2014-08-09T16:45:18Z,2019-06-25T14:51:37Z,18740,48587,Java,True,True,15755,15755,211,48587,,,
Organization,https://api.github.com/users/apple,https://github.com/apple,https://github.com/apple/swift,https://api.github.com/repos/apple/swift,False,2015-10-23T21:15:07Z,2019-06-25T13:49:22Z,436769,48280,C++,False,False,7721,7721,560,48280,,,
Organization,https://api.github.com/users/mui-org,https://github.com/mui-org,https://github.com/mui-org/material-ui,https://api.github.com/repos/mui-org/material-ui,False,2014-08-18T19:11:54Z,2019-06-25T15:07:48Z,76421,48236,JavaScript,True,False,10819,10819,325,48236,,,
Organization,https://api.github.com/users/ant-design,https://github.com/ant-design,https://github.com/ant-design/ant-design,https://api.github.com/repos/ant-design/ant-design,False,2015-04-24T15:37:24Z,2019-06-25T14:30:05Z,406452,48019,TypeScript,True,True,16923,16923,345,48019,,,
Organization,https://api.github.com/users/TheAlgorithms,https://github.com/TheAlgorithms,https://github.com/TheAlgorithms/Python,https://api.github.com/repos/TheAlgorithms/Python,False,2016-07-16T09:44:01Z,2019-06-25T14:58:57Z,7447,47175,Python,True,True,13615,13615,191,47175,,,
Organization,https://api.github.com/users/microsoft,https://github.com/microsoft,https://github.com/microsoft/terminal,https://api.github.com/repos/microsoft/terminal,False,2017-08-11T18:38:22Z,2019-06-25T15:10:53Z,105592,47131,C++,True,False,4533,4533,538,47131,,,
User,https://api.github.com/users/hakimel,https://github.com/hakimel,https://github.com/hakimel/reveal.js,https://api.github.com/repos/hakimel/reveal.js,False,2011-06-07T18:54:22Z,2019-06-25T14:57:49Z,9379,47022,JavaScript,True,True,13648,13648,471,47022,,,
Organization,https://api.github.com/users/socketio,https://github.com/socketio,https://github.com/socketio/socket.io,https://api.github.com/repos/socketio/socket.io,False,2010-03-11T18:24:48Z,2019-06-25T14:05:44Z,12259,46728,JavaScript,True,False,8530,8530,398,46728,,,
Organization,https://api.github.com/users/vuejs,https://github.com/vuejs,https://github.com/vuejs/awesome-vue,https://api.github.com/repos/vuejs/awesome-vue,False,2015-10-20T00:16:14Z,2019-06-25T15:10:22Z,4019,46450,,True,False,6438,6438,91,46450,,,
